|lemma|lemma_correct
2262.0|Hans|der Hans
2263.0|Frank|Frank
2266.0|Bürger|der Bürger
2268.0|trinken|trinken
2271.0|einschenken|einschenken
2277.0|hereinkommen|hereinkommen
2278.0|herein|herein
2289.0|unten|unten
2293.0|schließen|schließen
2295.0|übertönen|übertönen
2301.0|Finger|der Finger
2310.0|herrlich|herrlich
2313.0|Lieben|Lieben
2322.0|schweigen|schweigen
2325.0|Moral|die Moral
2330.0|genau|genau
2333.0|Wahnsinn|der Wahnsinn
2338.0|zuallererst|zuallererst
2343.0|festlich|festlich
2346.0|nie|nie
2359.0|Drum|Drum
2382.0|Musik|die Musik
2398.0|wegsehen|wegsehen
2402.0|Bier|das Bier
2403.0|weg|weg
2418.0|anschmeißen|anschmeißen
2421.0|raus|raus
2442.0|die Entschuldigung|die Entschuldigung
2446.0|dich|dich
2453.0|freundschaftlich|freundschaftlich
2454.0|Fußtritt|der Fußtritt
2457.0|lieb|lieb
2459.0|Klaps|der Klaps
2464.0|Wort|das Wort
2466.0|Rausschmiss|der Rausschmiss
2467.0|leidtun|leidtun
2469.0|leid|leid
2473.0|unvermeidlich|unvermeidlich
2475.0|wohltemperiert|wohltemperiert
2476.0|Grausamkeit|die Grausamkeit
2480.0|Tür|die Tür
2483.0|grölen|grölen
2485.0|Herbst|der Herbst
2488.0|Deutschlandlied|das Deutschlandlied
2493.0|dabei|dabei
2495.0|Stehtisch|der Stehtisch
2497.0|Nacht|die Nacht
2498.0|durchschallen|durchschallen
2500.0|treudeutsch|treudeutsch
2501.0|trist|trist
2503.0|Deutschland|das Deutschland
2504.0|schlafen|schlafen
2505.0|süß|süß
2512.0|bitterkalt|bitterkalt
2514.0|Zwetschgenschnaps|Zwetschgenschnaps
2515.0|wärmen|wärmen
2518.0|Durst|der Durst
2519.0|treiben|treiben
2522.0|Stampe|die Stampe
2525.0|Gehweg|der Gehweg
2531.0|damals|damals
2535.0|Märchenbuch|das Märchenbuch
2543.0|Gesinnungslump|Gesinnungslump
2544.0|gesellen|gesellen
2546.0|gern|gern
2548.0|warmhalten|warmhalten
2549.0|einander|einander
2550.0|warm|warm
2552.0|Deutschtum|das Deutschtum
2554.0|betrunken|betrunken
2555.0|schwer|schwer
2557.0|Herbstwind|der Herbstwind
2560.0|der Arm|der Arm
2561.0|Schlachtenbummler|der Schlachtenbummler
2566.0|Kamerad|der Kamerad
2567.0|gähnen|gähnen
2568.0|großmäulig|großmäulig
2570.0|morgen|morgen
2576.0|Schlaf|der Schlaf
2579.0|schrecken|schrecken
2580.0|plötzlich|plötzlich
2584.0|Stammtisch|der Stammtisch
2585.0|hoch|hoch
2588.0|Hose|die Hose
2589.0|nass|nass
2591.0|selig|selig
2593.0|schwören|schwören
2595.0|schnell|schnell
2596.0|kreuzbrav|kreuzbrav
2598.0|deutsch|deutsch
