|lemma|lemma_correct
1112.0|die Materie|die Materie
1114.0|nahe|
1116.0|Querdenker|der Querdenker
1117.0|klatschen|
1118.0|Pazifist|der Pazifist
1119.0|marschieren|
1120.0|Naziparole|
1122.0|Spaziergang|der Spaziergang
1123.0|Gewalt|die Gewalt
1124.0|sogenannt|
1125.0|Volk|das Volk
1127.0|Gesellschaft|die Gesellschaft
1128.0|spalten|
1129.0|Idiot|der Idiot
1130.0|wichtig|
1131.0|Million|die Million
1133.0|easy|
1134.0|impfen|
1136.0|der Rechte|die Rechte
1137.0|Hippie|der Hippie
1138.0|überzeugen|
1139.0|Politik|die Politik
1140.0|die Überraschung|die Überraschung
1142.0|Fascho|
1144.0|euch|
1145.0|Grund|der Grund
1147.0|Nazi|der Nazi
1148.0|Hool|
1149.0|Maßnahme|die Maßnahme
1153.0|verdienen|
1155.0|Patent|das Patent
1156.0|blockieren|
1157.0|profitieren|
1159.0|Verständnis|das Verständnis
1161.0|welcher|
1162.0|taktieren|
1163.0|überschreiten|
1164.0|weißen|
1166.0|Impfung|die Impfung
1167.0|Arztbesuch|der Arztbesuch
1169.0|AfD|die AfD
1170.0|Identitäre|
1171.0|Bewegung|die Bewegung
1173.0|scheiß|
1174.0|Dorf|das Dorf
1179.0|zusammen|
1180.0|miteinander|
1181.0|zueinander|
1182.0|Treue|die Treue
1183.0|Regel|die Regel
1184.0|regeln|
1185.0|Haifisch|der Haifisch
1186.0|laufen|
1187.0|Wasser|das Wasser
1188.0|Tempo|das Tempo
1188.1||der Tempo
1189.0|mithalten|
1190.0|sofort|
1191.0|offen|
1192.0|sechs|
1193.0|warm|
1194.0|einsam|
1195.0|Zähre|die Zähre
1196.0|fließen|
1197.0|salzig|
1198.0|schadlos|
1200.0|ziemlich|
1202.0|schick|
1203.0|setzen|
1204.0|Hut|der Hut
1204.1||die Hut
1206.0|ticken|
1208.0|Hol|
1209.0|kicken|
1210.0|absolut|
1217.0|nett|
1219.0|Rauch|der Rauch
1220.0|Shit|
1223.0|Club|der Club
1225.0|Ausblick|der Ausblick
1226.0|Braut|die Braut
1228.0|Schmuck|der Schmuck
1230.0|Hook|
1231.0|austicken|
1232.0|gucken|
1233.0|krass|
1234.0|rauskriegen|
1235.0|mm|
1236.0|Ausgang|der Ausgang
1237.0|drin|
1238.0|Hausmann|der Hausmann
1239.0|unbedingt|
1240.0|Drink|der Drink
1241.0|taugen|
1242.0|ran|
1243.0|Bar|das Bar
1243.1||die Bar
1245.0|Lady|die Lady
1246.0|sieben|
1248.0|Tanz|der Tanz
1249.0|sogar|
1250.0|Song|der Song
1251.0|Placebo|das Placebo
1252.0|blau|
1253.0|dito|
1255.0|hübsch|
1256.0|Ding|das Ding
1258.0|Ehering|der Ehering
1261.0|nuckeln|
1262.0|Queen|die Queen
1267.0|Thing|das Thing
1268.0|Kid|das Kid
1269.0|Augenblick|der Augenblick
1271.0|blitzen|
1272.0|daraus|
1273.0|loslegen|
1276.0|einreden|
1278.0|bechern|
1279.0|Barkeeper|der Barkeeper
1282.0|stecken|
1285.0|besessen|
1286.0|Offensive|die Offensive
1288.0|schielen|
1289.0|darauf|
1290.0|neben|
1291.0|Toilette|die Toilette
1292.0|wetten|
1294.0|Ehe|die Ehe
1303.0|Top|das Top
1306.0|saftig|
1308.0|die Mitte|die Mitte
1311.0|das Netz|das Netz
1315.0|Take|
1316.0|das Gehirn|das Gehirn
1317.0|wenden|
1319.0|off|
1322.0|die Schande|die Schande
1324.0|der Champagner|der Champagner
1331.0|Do|
1333.0|ruinieren|
1339.0|die Ehefrau|die Ehefrau
1341.0|stop|
1344.0|real|
1347.0|gedacht|
1351.0|gewollt|
1352.0|die Freude|die Freude
1362.0|dies|
1367.0|winden|
1368.0|wehren|
1369.0|verbinden|
1370.0|gierig|
1372.0|schwierig|
1374.0|Größe|die Größe
1375.0|obszön|
1376.0|außen|
1377.0|Schar|die Schar
1377.1||das Schar
1379.0|Erbarmen|das Erbarmen
1383.0|Untergang|der Untergang
1384.0|vermissen|
1385.0|Glocke|die Glocke
1386.0|Fahne|die Fahne
1387.0|hissen|
1388.0|Tod|der Tod
1389.0|verklären|
1390.0|nennen|
1391.0|Urne|die Urne
1392.0|leeren|
1394.0|kriegen|
1395.0|Stein|der Stein
1396.0|Trauerfeier|die Trauerfeier
1397.0|gewiss|
1398.0|kreisen|
1399.0|Geier|der Geier
1400.0|Menschenfresser|der Menschenfresser
1402.0|fressen|
1403.0|Professor|der Professor
1404.0|Penner|der Penner
1406.0|riechen|
1408.0|gerne|
1409.0|meistens|
1411.0|manchmal|
1412.0|vegetarisch|
1413.0|blond|
1414.0|arisch|
1416.0|ihnen|
1417.0|schrecklich|
1418.0|leid|
1420.0|ändern|
1421.0|halt|
1422.0|normal|
1423.0|meist|
1424.0|fleißig|
1426.0|erst|
1428.0|oft|
1429.0|Überzeugungstäter|
1430.0|selber|
1431.0|tausend|
1432.0|Helfer|der Helfer
1433.0|ruhen|
1434.0|Tennis|das Tennis
1435.0|spielen|
1436.0|reiten|
1437.0|Seite|die Seite
1440.0|Präsident|der Präsident
1441.0|fast|
1442.0|zeigen|
1443.0|Tresen|der Tresen
1444.0|Intro|das Intro
1445.0|Kummer|der Kummer
1446.0|Part|
1449.0|halb|
1450.0|schlimm|
1452.0|irgendein|
1453.0|Text|der Text
1455.0|Trost|der Trost
1456.0|spenden|
1457.0|trostlos|
1458.0|Gegenteil|das Gegenteil
1461.0|negativ|
1464.0|sicken|
1465.0|Flow|der Flow
1467.0|Hit|der Hit
1468.0|Strophe|die Strophe
1469.0|Stimmung|die Stimmung
1470.0|kippen|
1472.0|Zuversicht|die Zuversicht
1474.0|Zukunft|die Zukunft
1475.0|blicken|
1476.0|schaffen|
1477.0|ertragen|
1479.0|Rabe|der Rabe
1480.0|System|das System
1481.0|defekt|
1482.0|versagen|
1483.0|Scherbe|die Scherbe
1484.0|flammen|
1486.0|Großvater|der Großvater
1487.0|fünfzehn|
1488.0|irgendwie|
1490.0|Krebs|der Krebs
1491.0|straight|
1492.0|back|
1493.0|Realität|die Realität
1494.0|Geile|
1495.0|Thema|das Thema
1499.0|schreiben|
1500.0|Satz|der Satz
1501.0|aufmuntern|
1502.0|Track|
1503.0|runter|
1506.0|Verleger|der Verleger
1507.0|Brief|der Brief
1509.0|mitteilen|
1510.0|Buch|das Buch
1511.0|mögen|
1512.0|komplett|
1513.0|Spur|die Spur
1515.0|Ernst|der Ernst
1517.0|nein|
1518.0|Kapitel|das Kapitel
1519.0|Typ|der Typ
1520.0|gerade|
1522.0|schwarz-weiß-rot|
1523.0|Flagge|die Flagge
1524.0|Umhang|der Umhang
1526.0|Brandenburger|der Brandenburger
