|lemma|lemma_correct
27737.0|Finsternis|die Finsternis
27754.0|Steckenpferd|das Steckenpferd
27759.0|sabotieren|sabotieren
27762.0|Hexenwerk|das Hexenwerk
27766.0|Märchenwald|Märchenwald
27836.0|Reiten|das Reiten
27850.0|Heuschrecke|die Heuschrecke
27869.0|absteigen|absteigen
27875.0|Blechdose|die Blechdose
27882.0|Pechvogel|der Pechvogel
27888.0|Sektbowle|Sektbowle
27909.0|mehrfach|mehrfach
27910.0|totschlagen|totschlagen
27916.0|Kanonenkugel|die Kanonenkugel
27921.0|Lügenbaron|der Lügenbaron
27933.0|Mohnkuchen|Mohnkuchen
27937.0|Lifestyle|der Lifestyle
27941.0|tagtäglich|tagtäglich
27947.0|Brathähnchen|das Brathähnchen
27950.0|Kamel|das Kamel
27951.0|Drahtesel|der Drahtesel
27955.0|Farm|die Farm
27960.0|umrunden|umrunden
28025.0|Melodie|die Melodie
28033.0|Ecke|die Ecke
28063.0|Illuminat|der Illuminat
28069.0|plaudern|plaudern
28075.0|Wanze|die Wanze
28083.0|Lauer|die Lauer
28086.0|merkwürdig|merkwürdig
28096.0|Flower-Power|Flower-Power
28099.0|faul|faul
28100.0|Zauber|der Zauber
28105.0|mysteriös|mysteriös
28114.0|Verschwörung|die Verschwörung
28127.0|bundesweit|bundesweit
28128.0|Presse|die Presse
28134.0|Banner|das Banner
28134.001|Banner|der Banner
28136.0|Meier|der Meier
28140.0|Anagramm|das Anagramm
28142.0|Eimer|der Eimer
28142.001|Eimer|die Eimer
28146.0|allerhand|allerhand
28148.0|geheim|geheim
28149.0|Geheimagent|Geheimagent
28150.0|CIA|die CIA
28150.001|CIA|der CIA
28151.0|Mossad|der Mossad
28161.0|Winkel|der Winkel
28167.0|Pyramide|die Pyramide
28172.0|Fliegenfänger|der Fliegenfänger
28174.0|Gardine|die Gardine
28220.0|erleuchten|erleuchten
28225.0|erwachen|erwachen
28231.0|Weltherrschaft|die Weltherrschaft
28270.0|kreuzen|kreuzen
28273.0|Tempelritter|der Tempelritter
28277.0|Enkel|der Enkel
28298.0|Freimaurer|der Freimaurer
28305.0|Wochenblatt|das Wochenblatt
28311.0|Di|Di
28316.0|Wissenschaft|die Wissenschaft
28318.0|altbekannt|altbekannt
28319.0|Weisheit|die Weisheit
28320.0|schlucken|schlucken
28322.0|Popcorn|das Popcorn
28325.0|gemütlich|gemütlich
28326.0|Zeitgeist|der Zeitgeist
28335.0|Dartpfeil|der Dartpfeil
28417.0|borgen|borgen
28428.0|runterkurbeln|runterkurbeln
28479.0|starren|starren
28492.0|Rücken|der Rücken
28513.0|Handtuch|das Handtuch
28553.0|Tetrapak|Tetrapak
28571.0|starr|starr
28602.0|Sohle|die Sohle
28605.0|erwachsen|erwachsen
28616.0|Fang|der Fang
28619.0|Düne|die Düne
28627.0|wringen|wringen
28705.0|Rauschen|das Rauschen
28719.0|Gezeit|die Gezeit
28733.0|albern|albern
28748.0|Strand|der Strand
28784.0|Universum|das Universum
28786.0|erschöpfen|erschöpfen
28828.0|abfackeln|abfackeln
28835.0|seltsam|seltsam
28851.0|wiederholen|wiederholen
28894.0|Kratze|die Kratze
28900.0|abstumpfen|abstumpfen
28903.0|ausbrennen|ausbrennen
28927.0|irgendetwas|irgendetwas
28953.0|eisgekühlt|eisgekühlt
28961.0|abgestanden|abgestanden
28992.0|Ex|der Ex
28992.001|Ex|die Ex
28996.0|Date|das Date
29002.0|versetzen|versetzen
29033.0|solang|solang
29058.0|Strom|der Strom
29059.0|trotz|trotz
29141.0|Perspektive|die Perspektive
29206.0|Muskel|der Muskel
29208.0|erfolglos|erfolglos
29213.0|Floskel|die Floskel
29215.0|Erziehung|die Erziehung
29287.0|obendrauf|obendrauf
29326.0|Maklerprovision|Maklerprovision
29333.0|Fucking|Fucking
29377.0|mäh|mäh
29378.0|Rasen|der Rasen
29378.001|Rasen|das Rasen
29385.0|kühl|kühl
29423.0|Süden|der Süden
29426.0|Sonnenuntergang|der Sonnenuntergang
29433.0|Orientierung|die Orientierung
29436.0|Sizilien|Sizilien
29440.0|italienisch|italienisch
29450.0|spontan|spontan
29453.0|toll|toll
29470.0|klemmen|klemmen
29472.0|selbstverständlich|selbstverständlich
29476.0|klimatisieren|klimatisieren
29479.0|Fiesta|die Fiesta
29488.0|Stück|das Stück
29504.0|Bravo|das Bravo
29504.001|Bravo|der Bravo
29504.002|Bravo|die Bravo
29509.0|CD|die CD
29519.0|Raste|die Raste
29522.0|Autobahn|die Autobahn
29530.0|Kühlwasser|das Kühlwasser
29535.0|Rost|der Rost
